Test Name,Test Amount
"Opiates Screen, Urine",0.00
"Osmolality, Serum",600
"Osmolality, Urine",400
Osmotic Fragility,1300
Osmotic Fragility Test; Rbc Fragility Test,0.00
"Ova & Parasite Detection, Concentration Method, Stool",0.00
Oxalate -24 Hrs Urine,1200
"Packed Cell Volume , Pch; Hematocrit",0.00
"P-Anca/Anca-Mpo (Anti Myeloperoxidase Antibodies), Eia",0.00
Pap Smear (Cervical & Vaginal Cytology),600
Pap Smear-Conventional Method,600
Pappa - A,1300
Pappa-Pregnancy Associated Plasma Protein-A,0.00
"Parathyroid Hormone (Pth), Intact",1200
Parotidectomy,0.00
Parotidectomy With Neke Dissection,0.00
Partial Esophagectomy,0.00
Partial Or Total Gastectomy,0.00
Partial Or Total Penectomy,0.00
Parvo Virus B19 Dna Pcr,0.00
Pas Staining,0.00
Pateletcrit,0.00
Pathology Blank,0.00
Paul Bunnel Test,0.00
Pcr Tuberculosis ( Tb - Dna Pcr ),0.00
Penectomy With Node Dissection,0.00
Peripheral Blood Smear Examination,100
PFT,0.00
Ph Stool,80
Ph Urine,80
Phencyclidine Phosphate (Qualitative),0.00
"Phenytoin Level (Eptoin, Dilantin)",1200
Phenytoin/Eptoin/Dilantin,0.00
Phospholipid Antibody Profile,0.00
Phospholipid Antibody Profile-Igg & Igm,1600
"Phosphorous -Inorganic, Serum",0.00
Phosphorus,300
Platelet Count,100
Platelet Distribution Width; Pdw,0.00
Platelet/Thrombocyte Count,100
Plateletcrit,0.00
Pleural Fluid Examination,0.00
Post Prandial ( Pp ) Urine Sugar,0.00
Potassium,200
"Potassium, Random Urine",200
"Potassium, Serum",200
"Pregnancy Test, Urine",150
Procalcitonin,2500
Progesterone,900
"Progesterone(P4), Serum",900
Prolactin ( Prl ),400
Prostate Specific Antigen ( Psa ),700
Protein C,
"Protein Creatinine Ratio, 24 Hrs Urine",0.00
Protein Electrophoresis,660
"Protein Electrophoresis, Serum",660
Protein S,4000
Protein S & Protein C,0.00
Protein Total;Serum,150
"Protein, 24Hrs Urine",0.00
"Protein, Random Urine",0.00
"Protein/ Creatinine Ratio, Random Urine",0.00
"Protein-Creatinine Ratio, Urine",0.00
Proteins ( Serum ),200
Prothrombin Gene Mutation,0.00
Prothrombin Time ( Pt ),300
"Prothrombin Time Studies, Pt/Inr",300
Psa Profile,1760.00
Psa(Prostate Specific Antigen),600
Punch Biopsy,800
QUADRAPLE MARKER TEST,0.00
Quadruple Test,3500
Quantitative Hepatitis B Surface Antigen (Hbsag),0.00
Ra Factor ( Rheumatoid Arthritis Factor ),400
Radical Cystectomy With Prostectomy,0.00
Radical Nephrectomy,0.00
Radical Prostatectomy With Cystectomy,0.00
Rapid Malaria Test,0.00
Rectal Biopsy,100
"Red Blood Cells Count, Rbc Count",150
Red Cell Distribution Width (Rdw),100
Red Cell Indices,200
"Reducing Substance , Paediatric Urine",0.00
"Reducing Substance , Stool",200
Reducing Sugar,0.00
Renal Biopsy,0.00
Renal Function Test (Max),0.00
Renal Function Test (Mini),0.00
Report Of Cardiac Markers ( Troponin T ),0.00
Reticulocyte Count,200
RFT/KFT,1500
Rh Antibody - Titres,0.00
Rheumatoid Factor; Ra Factor,400
RIGHT HEMICOLECTOMY,0.00
Rnp/Sm Antibody,0.00
"Roma, Risk Of Ovarian Malignancy Algorithim",0.00
Rota Virus Antigen Detection (Stool),0.00
"Rota Virus Antigen, Stool",0.00
Routine Examination Of Stool,150
Routine Examination Of Urine,150
Rqpcr-Bcrabl,0.00
"Rubella (German Measles)Antibodies Panel, Igg & Igm",0.00
"Rubella (German Measles)Antibody, Igg",600
"Rubella (German Measles)Antibody, Igm",600
Rubella Igg Quantitative,0.00
Rubella Virus Antibody - Igg,600
Rubella Virus Antibody - Igm,600
S. Gamma Glutamyl Transferase ( Ggtp ),0.00
Salmonella Typhi & Salmonella Paratyphi A Antigen Detection,0.00
Salmonella Typhi Igm/Igg (Card Test),800
Scl-70 (Scleroderma )Antibody,0.00
Scrub Typhus Igm,900
Semen Analysis,400
Semen Analysis Report,400
"Semen Analysis, Seminogram",0.00
"Semen Fructose, Qualitative",0.00
Semen Wash Analysis,400
Serum Acetone,0.00
Serum Ascites Albumin Gradient (Saag),400
Serum Copper,0.00
Serum Free Metanephrin,0.00
Serum IgE,750
Serum Iron,300
Serum Osmolality,600
Serum Phosphorus,300
SERUM UREA & CREATININE,300.00
Serum Zinc,500
Sex Hormone Binding Globulin,1600
Sgot,150.00
Sgot/Ast,150.00
SGPT,150.00
Sgpt/Alt,150.00
"Shbg, Sex Hormone Binding Globulin",660.00
Sickling Test,350
Skin Tag /Moles/Nevus Excision,0.00
Slide Review (1 Block/1 Slide),0.00
Slit Skin Smear,0.00
Smear For Fungal Elements,0.00
Sodium ( Na+) Potasium (K+),400
"Sodium , Serum",200.00
"Sodium, 24 Hrs Urine",0.00
"Sodium, Urine",200
"Specific Gravity, Urine",150
Sperm Antibody - Total Asab (Anti Sperm Antibody),1540
Sputum AFB,150
Sputum Analysis,150
Sputum for AFB,150
Sputum For Afb,150
Sputum For Zn Stain,150
Sr Bicarbonate Level,440
Sr Gastrin Level,1400
Ssa Antibody/Ro Antibody,0.00
Ssb Antibody/La Antibody,0.00
Stained Cytology Slides For Opinion,0.00
Stone Analysis,1500
Stool For Fat Globules,0.00
Stool For Occult Blood,200
Subtotal Thyroidectomy,0.00
Synovial Fluid Examination,0.00
Synovial Piopsy,0.00
T3 ( Tri-Iodothyronine ),250
"T3 Total, Total Tri-Iodothyronine",0.00
T4,250
T4 ( Thyroxine),200.00
"T4 Total, Total Thyroxine",600.00
Tacrolimus,5000
Tb Drug Sensitivity- 1St Line Drug,0.00
Tb Drug Sensitivity- 2Nd Line Drugs,0.00
TB Gold,2400.00
Tb Platinum (Tb Gamma Interferon - Quantiferon),0.00
Tb Rt Pcr On Tissue Block,0.00
Tc/Hdl Ratio,0.00
Testicular Biopsies,0.00
Testicular Tumor Orchiectomy,0.00
Testosteron (Total),800
Testosterone,800
Thrombin Time; Tt,400
Thyroglobulin,2000
Thyroglobulin (Tg),2000
"Thyroglobulin Antibody , Ata/Anti Tg",2000
Thyroglobulin Level,1800
Thyroid Function Test ( Tft ),750
"Thyroid Profile ( T3, T4, Tsh )",750
"Thyroid Profile -4 ( Ft3, Ft4, Tsh )",650.00
Tibc (Total Iron Binding Capacity (Tibc)),300
"Tibc, Total Iron Binding Capacity",300
Tissue Transglutaminase - Iga ( Ttga ),0.00
"Tlc, Dlc",150
"Torch -8 Igg/Igm Antibodies To Toxoplasma, Cmv, Rubella, Hsv - 1&2 Combi Serum",0.00
Torch I,0.00
Torch Igm,1430
Torch Ii [ 10 Para ],2500
Torch Panel Igg & Igm,1500
Torch Panel Igg -4,0.00
Torch Panel Igg-5,0.00
Torch Panel Igm -4,0.00
Torch Panel Igm -5,0.00
Total Cholesterol,200
Total Esophagectomy With Partial Gastrectomy,0.00
Total Thyroidectomy With Neck Dissection,0.00
Toxoplasma - Igg & Igm,800
"Toxoplasma Antibody, Igg",400
"Toxoplasma Antibody, Igm",400
Toxoplasma Igg- Csf,0.00
Tpha (Treponema Pallidium Haemagglutination Assay),700
Transferrin,1400
"Triglycerides, Serum",300
Triple Marker Graph,0.00
Triple Marker Test,2500
Troponin I,1200
"Troponin I, High Sensitive",
Troponin T ,1000
Trucut Biopsy,0.00
Trucut Biopsy Of Lump,0.00
Trucut Biopsy Of Lung,0.00
Tsh (Thyroid Stimulating Hormone),300
"Ttg:Tissue Transglutaminase Antibody, Iga",1500
"Ttg:Tissue Transglutaminase Antibody, Igg",0.00
Tuberculin Test ( Tt ) (Montoux Test),0.00
Turbt,0.00
Turp Depends On Volume And No Of Blocks,0.00
Typhidot  Igg,400.00
Typhidot  Igm ,400.00
"Ue3 (Free), Unconjugated Estriol",0.00
Uibc,0.00
Unconjugated Estradiol ( E3 ),1100
Unstable Hb,0.00
Up To 5 Blocks,0.00
UPPER ABDOMEN (Cirrhosis),0.00
"Urea Nitrogen, Random Urine",0.00
"Urea Nitrogen, Urine 24Hrs",0.00
"Urea, Serum",150
"Urea, Urine 24 Hrs",0.00
Ureteroplasty,0.00
URIC ACID,200
Urinary (Spot) Creatinine,200
Urine 24 Hr Copper,0.00
URINE ACR,900.00
Urine Albumin,100
URINE C/S,150
Urine Culture,350
Urine Fat Globules,0.00
Urine For Bence Jones Proteins,200
Urine For Haemoglobinuria,0.00
URINE FOR KETONE,200
Urine For Ketone Bodies (Acetone),200
Urine For Microalbumin,600
Urine For Occult Blood,150
URINE FOR PROTEIN (24 HRS),450
Urine For Sugar,100
Urine Osmolality,0.00
Urine Porphobilinogen (Qualitative),0.00
Urine Porphobilinogen (Quantitative),0.00
Urine Potassium,200
Urine Pregnancy Test,150
Urine Protein,100
URINE RE/ME,150
Urine Routine Examination Report,150
Urine Spot Sodium,200
Urobilinogen,0.00
V4 Test,0.00
Vaccination Immune Status Panel,0.00
Valproic Acid Level,1000
"Valproic Acid, Sodium Valproate",770.00
Varicella Zoster Pcr Detection,0.00
Varicella Zoster Virus Igg (Chicken Pox; Herpes Zoster; Shingles),800
Vdrl,200
Vdrl Serum,200
Vit D Plus (Vitamin D Total-25 Hydroxy + Pth),0.00
Vitamin B12,1200
"Vitamin B12, Cynacobalamin",0.00
"VITAMIN B12, SERUM",1200
Vitamin B6,4400
Vitamin C,4400
"Vitamin D (1, 25 Dihydroxycholecalciferol)",2000
"Vitamin D Total 1, 25 Dihydroxy",2400
Vitamin D Total-25 Hydroxy,2400
Vitamin D3 ( 25 Oh Vitamin D Total ),2000
Vitamin E (Tocopherol),4400
Vldl Cholesterol,150
"Vma(Vanilmandelic Acid) , 24 Hrs Urine",3000
Wbc Count,100
Wbc:Total & Differential Leucocyte Counts; Blood,120
Weil Felix Test,0.00
Wertheims Hystectomy With B/L Pelvic Dissection,0.00
Whipples Resection,0.00
Widal Test new,200
Wide Local Excision Of Lesion With Mnd,0.00
Wide Local Excision Of Lesion With Sohd,0.00
Wide Local Excision Of Mass,0.00
Y Chromosome Microdeletion Analysis,0.00
