Test Name,Test Amount
"Bilirubin Direct, Serum",250
Bilirubin Total,200
"Bilirubin Total, Direct & Indirect, Serum",200
"Bilirubin Total, Serum",200.00
"Bilirubin, Fluid",0.00
Biological Indicator,0.00
Biopsy From Ca Penis,0.00
Bladder Mucosal Biopsy,0.00
Bleeding Time,100
Blood Glucose Level ( Fasting & Post Prandial ),140
Blood Glucose Level ( Fasting ),70
Blood Glucose Level ( Random ),70
Blood Group,120
"Blood Group Abo & Rh Typing, Blood",120.00
"Blood Picture, Peripheral Smear Examination",100
BLOOD RE,200
Blood Sugar PP,70.00
Blood Urea Level,150
Blood Urea Nitrogen ( Bun ),200
Bnp-B Type Natriuretic Peptide,0.00
Body Mass Index (Bmi),0.00
Bone Marrow Aspiration Cytology,0.00
Bone Marrow Examination,850
Bone Tomor Radical Excision,0.00
Bronchoscopic Biopsy,0.00
Brucella Agglutination Test,0.00
Brucella Antibodies Igg & Igm,0.00
Brucella Antibody Igg,1000
Brucella Antibody Igm,1000
BT-CT ( Bleeding Time & Clotting Time ),200
Buccal/Tongue Biopsies,0.00
Buffy Coat Smear,0.00
Bursa Excision,0.00
C Peptide,800
"C. Difficile Toxin A & B, Stool **",3500
C3,1000
"C3 , C4 ( Complement )",2000
C4,1000
Ca - 125,1000
Ca 15.3 ( Breast Cancer Marker ),1000
"Ca -15.3, Serum",1200
Ca 19.9 ( Pancreatic Cancer Marker ),1200
"Ca 19.9, Serum",1200
"Ca-125, Serum",1000
"Ca-72.4, Serum",2800
Calcitonin,2890
Calcium,300
"Calcium Ionized, Serum",400
Calcium Profile (Includes Calcium Total & Ionized),0.00
CALCIUM random URINE,0.00
"Calcium Total, Serum",300
"Calcium, 24Hrs Urine",300
"Calcium, Random Urine",0.00
"Calcium/Creatinine, Random Urine",0.00
Calprotectin - Stool,3630
"Calprotectin, Stool",3630
"C-Anca/Anca- Pr3 (Serin Proteinase 3 Antibodies), Eia",0.00
"Cannabis Marijuana-Delta 9-Thc Metabolites, Urine",0.00
Capd Fluid Examintion,0.00
Carbamazepine Level,1000
"Carbamazepine, Tegretol",0.00
Carcino Embryonic Antigen ( Cea ),715
"Cardiolipin Antibodies Panel -Acl (Includes Iga, Igg, Igm)",2590
"Cardiolipin Antibody -Acl, Iga",800
"Cardiolipin Antibody -Acl, Igg",800
"Cardiolipin Antibody-Acl, Igm",800
Catecholamines - 24 Hours Urine (Adrenaline And Nor- Adrenaline),6200
"Catecholamines, 24Hrs Urine",0.00
"Catecholamines, Plasma",0.00
Ccp - Cyclic Citrullinated Peptide Antibody,1500
Cd3/Cd4/Cd8 Counts,2500
Cd4 & Cd8 Count,2350
CEA(Carcino Embryonic Antigen) ,900
CELL TYPE & CELL COUNT,500
Cerebrospinal Fluid Examination ( Csf ),1750
Ceruloplasmin,1350
Ceruloplasmin(Copper Oxidase),0.00
Cervical Smear,0.00
Cervix Biopsy,1500
Chikungunya Test,1000
Chikungunya Virus Antibody Igm,900
Chlamydia Trachomatis Igg Antibody,900
Chlamydia Trachomatis Igm Antibody,0.00
Chloride(Cl),250
"Chloride, 24Hrs Urine",350
"Chloride, Body Fluid",300
"Chloride, Random Urine",300
"Chloride, Serum",250
"Chlostridium Difficile, Toxin A & B, Stool",2750
Cholesterol,250
"Cholesterol Total, Serum",250
Cholinesterase,0.00
Chromogranin A,9000
Chromosomal Analysis Report,3500
Chromosomal Study - Blood,4000
Chromosomal Study - Tissue,0.00
CK-MB ( Creatine Kinase-MB ),660
Clot Retraction Test,100
Clotting Time; Ct,100
Cmv (Cytomegalo Virus) - Igg,400
Cmv (Cytomegalo Virus) - Igm,400
Colonic Biopsy,0.00
COLOR DUPLEX DOPPLER OF VENOUS SYSTEM OF SINGLE LEG,0.00
Complement C3,660
Complement C4,660
Complement Panel (Includes C3&C4),1320
Complete Blood Count Cbc,300
"Coombs Test- Direct , Direct Antiglobulin Test (Dat)",
"Coombs Test- Indirect, Indirect Antiglobulin Test (Iat)",
Coombs Test-Direct,500
Coombs Test-Indirect,500
Cortisol,800
"Cortisol Free, 24 Hours Urine",975
"Cortisol, Serum (Evening Sample)",800
"Cortisol, Serum (Morning & Evening Sample)",1500
"Cortisol, Serum (Morning Sample)",800
Covid-19 IgG & IgM Duo,1500
"COVID-19 Screening (Nucleic Acid Amplification, Qualitative)",1500
"C-Peptide, Serum (Fasting Sample)",800
"C-Peptide, Serum (Post-Prandial Sample)",800
CPK ( Creatinine Phospho Kinase ),600
"Cpk, Mb Fraction (Mass)",500
Cpk-Mb,600
Creatinine,150
Creatinine Clearance ( 24 Hrs Urine ),600
Creatinine Clearance Test,600
"Creatinine, 24 Hrs Urine",590
"Creatinine, Random Urine",550
"Creatinine, Serum",150.00
CRP (C-Reactive Protein ),400
Cryptococcal Antigen,0.00
"Cryptococcus Antigen, Rapid",0.00
Culture & Sensitivity,0.00
Culture & Sensitivity - Pus,500
Culture & Sensitivity - Pus (No - Growth),500
Culture And Sensitivity- Semen,500
CULTURE AND SENSITIVITY VITEK,0.00
Culture Icu,0.00
Culture Ot,0.00
Culture Sensitivity- Sputum,500
